id,true_label,predicted_label
11972.json,5,1
11685.json,1,1
11096.json,1,1
5209.json,3,1
9524.json,0,1
5962.json,5,5
7070.json,5,1
1046.json,2,1
12849.json,5,4
13270.json,2,4
6649.json,2,1
2508.json,2,3
11269.json,0,1
11200.json,1,4
8047.json,3,1
4888.json,5,3
3331.json,0,3
9198.json,3,4
73.json,5,1
1328.json,1,1
12169.json,4,1
5244.json,3,2
12996.json,0,3
8162.json,4,5
10064.json,1,1
1084.json,5,4
13231.json,2,5
13089.json,3,3
1051.json,5,1
4161.json,4,4
11966.json,1,1
9800.json,1,3
816.json,3,1
2646.json,3,5
12381.json,5,3
8567.json,3,3
9092.json,2,1
10055.json,4,3
4513.json,5,3
10340.json,5,2
6849.json,2,1
10971.json,3,1
13251.json,0,3
7545.json,2,3
4929.json,4,4
6239.json,2,5
266.json,3,3
8841.json,4,5
6313.json,1,1
9550.json,2,5
9612.json,3,3
13272.json,2,5
7562.json,4,3
3121.json,3,3
9578.json,1,1
4553.json,3,4
2356.json,4,4
3453.json,3,1
1066.json,0,1
2092.json,0,5
7442.json,2,4
9910.json,2,1
11083.json,5,1
11443.json,1,0
11539.json,3,5
2966.json,1,3
13367.json,4,2
1087.json,4,3
267.json,5,3
4272.json,5,3
8849.json,3,3
12542.json,3,3
8372.json,2,4
3518.json,4,4
8340.json,1,3
10218.json,3,2
12698.json,1,1
2357.json,1,2
7823.json,3,4
12541.json,2,3
2854.json,0,1
4719.json,3,1
2072.json,5,4
2885.json,1,4
13334.json,3,5
4820.json,3,3
12309.json,2,1
1420.json,4,4
8761.json,1,3
2491.json,5,3
1075.json,2,1
9762.json,5,3
5935.json,2,1
2821.json,0,3
6370.json,5,4
3706.json,0,1
10163.json,5,3
2796.json,1,5
6083.json,2,5
5913.json,2,3
934.json,5,3
2162.json,2,3
3161.json,4,4
2679.json,5,1
8929.json,5,1
10040.json,3,1
12398.json,0,3
2690.json,0,3
8667.json,5,0
8941.json,5,2
6821.json,0,3
10631.json,1,1
6579.json,3,1
11400.json,4,5
3228.json,5,1
9746.json,3,1
1915.json,1,1
12456.json,2,1
4856.json,3,3
4698.json,1,4
2585.json,2,1
6604.json,2,3
4495.json,0,4
8406.json,2,1
10147.json,1,4
10623.json,4,1
2277.json,3,1
8146.json,4,1
6026.json,3,1
13056.json,5,3
1103.json,0,1
4444.json,4,3
9269.json,1,1
4105.json,0,1
8533.json,2,1
6950.json,4,1
13125.json,2,4
8294.json,4,2
9908.json,4,1
12424.json,1,3
4309.json,1,3
110.json,1,1
7677.json,4,1
4780.json,5,5
715.json,1,1
3107.json,5,3
7565.json,4,3
8606.json,3,1
3869.json,3,5
10948.json,1,1
12210.json,1,1
4119.json,4,4
7272.json,2,1
12236.json,3,5
4016.json,1,1
6765.json,5,3
11867.json,1,3
11777.json,5,3
9051.json,0,1
4243.json,4,1
7818.json,4,4
10871.json,3,4
4710.json,3,5
9507.json,0,1
11324.json,4,5
6046.json,1,1
8434.json,2,1
3637.json,4,5
7744.json,4,1
2897.json,2,1
6060.json,2,4
603.json,1,4
11545.json,4,3
10448.json,3,5
5461.json,5,1
6684.json,0,3
450.json,2,1
769.json,5,3
6425.json,3,5
502.json,5,4
11711.json,5,2
5470.json,5,3
8869.json,4,3
8159.json,3,4
6884.json,3,5
10250.json,1,5
10757.json,1,1
8320.json,4,1
5472.json,1,3
5505.json,5,4
12427.json,4,5
11464.json,2,3
11778.json,2,3
12961.json,1,3
10269.json,2,3
2833.json,3,5
6110.json,3,1
13400.json,2,3
1251.json,5,5
6112.json,4,4
6431.json,1,2
2615.json,1,3
3709.json,1,4
2652.json,0,1
9146.json,4,3
184.json,1,4
11764.json,0,3
7692.json,4,3
7876.json,0,1
5171.json,1,3
12950.json,2,1
11185.json,2,2
2412.json,1,1
3215.json,0,5
948.json,5,3
11766.json,3,1
592.json,2,1
5732.json,2,4
12745.json,3,4
5017.json,2,2
12331.json,2,4
10424.json,4,5
9091.json,1,4
2547.json,5,1
12571.json,4,1
7810.json,4,5
10935.json,4,4
8433.json,4,3
7087.json,4,4
1025.json,1,5
6386.json,2,3
2844.json,3,1
2392.json,2,3
4708.json,5,4
8676.json,2,1
8809.json,5,5
4095.json,4,4
13102.json,3,5
12167.json,2,4
2876.json,4,3
4769.json,3,2
1760.json,2,3
12943.json,3,5
6513.json,1,3
7780.json,2,2
7418.json,4,3
2777.json,4,4
8853.json,1,1
7758.json,4,5
11796.json,3,0
11573.json,3,4
9521.json,3,4
10208.json,2,3
5756.json,3,3
1569.json,4,3
11805.json,5,3
805.json,4,3
8030.json,2,3
7678.json,1,4
139.json,4,4
7271.json,5,5
11409.json,1,3
688.json,1,1
3726.json,4,5
7461.json,2,3
5363.json,1,2
9942.json,5,1
3575.json,5,1
2205.json,5,5
7552.json,4,3
7135.json,0,3
384.json,5,5
13007.json,5,3
12994.json,4,1
3436.json,1,3
5810.json,4,4
6141.json,0,1
6.json,3,1
9891.json,3,1
1971.json,1,3
7008.json,4,4
8963.json,0,3
13040.json,3,3
8151.json,1,4
6236.json,2,5
6974.json,1,2
6879.json,2,5
11639.json,4,3
9343.json,2,5
422.json,3,5
1448.json,3,1
737.json,1,4
10516.json,4,5
4750.json,1,1
8604.json,1,3
729.json,3,1
12702.json,0,3
8901.json,5,1
11546.json,3,1
1353.json,2,1
5938.json,1,4
12158.json,2,4
656.json,4,5
10085.json,1,3
5824.json,1,1
5753.json,5,1
5512.json,1,1
125.json,4,1
6010.json,3,1
727.json,4,3
42.json,2,5
8511.json,3,2
6262.json,0,0
9502.json,4,5
11351.json,4,5
8558.json,1,1
12084.json,5,5
568.json,5,3
7537.json,3,3
9708.json,0,3
7524.json,3,1
4537.json,4,3
8549.json,2,1
11736.json,3,3
8062.json,3,3
3158.json,4,1
10794.json,1,1
12461.json,5,3
8609.json,3,1
63.json,4,5
6560.json,5,5
3546.json,3,1
3036.json,1,4
11910.json,0,1
4101.json,4,3
10175.json,4,4
4593.json,1,1
5985.json,1,3
1881.json,2,3
204.json,1,1
10091.json,5,1
1409.json,1,1
2769.json,5,1
2600.json,4,1
4822.json,3,1
5536.json,3,1
2911.json,1,5
12787.json,3,1
2442.json,0,1
3489.json,2,4
12006.json,1,5
9109.json,2,3
12661.json,4,5
6447.json,3,3
2983.json,5,3
13467.json,0,5
921.json,1,3
9141.json,2,3
12648.json,2,4
3674.json,0,1
6577.json,3,1
8240.json,1,1
9405.json,4,4
1892.json,5,2
2754.json,3,1
31.json,5,3
4711.json,4,4
664.json,1,4
1199.json,5,1
11865.json,2,5
87.json,5,1
9312.json,4,3
10638.json,3,5
3021.json,5,2
379.json,5,2
5272.json,3,1
683.json,5,1
1781.json,5,5
11687.json,4,4
2975.json,3,3
771.json,2,2
3991.json,3,4
11923.json,3,4
10749.json,2,1
3946.json,3,1
7834.json,5,1
6290.json,3,0
1477.json,1,1
10881.json,4,5
4396.json,4,3
6206.json,5,5
9970.json,5,1
4353.json,5,4
1394.json,1,5
7695.json,5,5
4770.json,2,1
1052.json,5,3
5249.json,1,1
3700.json,1,3
8683.json,5,5
12798.json,2,4
4838.json,3,1
7680.json,4,4
1999.json,5,1
12873.json,0,3
9683.json,0,1
6660.json,4,4
13527.json,1,3
2626.json,1,1
2814.json,3,3
7598.json,3,2
2746.json,2,5
12448.json,2,3
3232.json,5,1
11226.json,4,1
487.json,2,1
6858.json,4,5
8701.json,1,3
10606.json,2,3
9016.json,3,4
2371.json,2,4
12065.json,5,5
2362.json,4,1
2868.json,1,4
13305.json,5,3
8503.json,5,1
2428.json,3,4
636.json,5,1
5758.json,2,3
2793.json,4,2
9426.json,5,3
5898.json,2,2
11218.json,4,1
12703.json,4,2
5462.json,1,3
1955.json,0,2
11647.json,4,5
11139.json,4,1
1648.json,4,5
5371.json,1,5
4425.json,2,1
2498.json,4,3
4131.json,5,4
2341.json,4,1
5551.json,3,1
757.json,3,4
11519.json,5,5
5785.json,0,2
2284.json,0,1
12650.json,2,5
9480.json,2,4
643.json,3,3
11242.json,5,3
7038.json,5,5
6772.json,0,3
7952.json,1,1
13134.json,3,3
2181.json,3,3
9629.json,4,4
3668.json,1,1
11327.json,4,3
3818.json,4,5
2218.json,3,3
11562.json,0,1
9622.json,5,1
9995.json,4,3
7344.json,2,1
5840.json,1,3
1576.json,5,4
13127.json,4,4
12098.json,4,4
12272.json,4,5
5993.json,0,1
9285.json,1,1
7165.json,3,1
11025.json,1,5
7577.json,4,5
2719.json,2,5
3631.json,2,1
7211.json,1,1
1480.json,2,4
1512.json,3,5
10517.json,3,3
5723.json,0,5
7378.json,3,2
531.json,4,3
474.json,2,3
2250.json,1,4
126.json,4,5
10646.json,0,1
1823.json,5,1
9731.json,2,1
9594.json,0,1
12026.json,3,1
5971.json,1,4
6857.json,1,1
3112.json,3,4
11832.json,0,4
2337.json,3,1
10853.json,1,1
9050.json,4,3
9427.json,4,5
2830.json,3,4
9756.json,3,3
6532.json,4,3
4805.json,1,1
3648.json,1,5
4994.json,3,3
4715.json,3,2
526.json,2,3
8673.json,5,2
9273.json,0,5
9973.json,3,5
3.json,4,3
9197.json,1,3
9610.json,1,3
1150.json,3,4
2087.json,5,1
7051.json,3,3
8035.json,1,3
1329.json,2,1
1574.json,4,3
6745.json,4,5
4289.json,3,3
4383.json,1,1
12089.json,4,5
12976.json,1,1
5170.json,5,3
6976.json,5,4
7838.json,0,1
2643.json,1,3
1810.json,3,5
10097.json,0,1
13236.json,2,2
2568.json,1,1
12833.json,1,4
1894.json,3,4
7881.json,4,4
5603.json,5,3
5759.json,1,4
6207.json,3,4
2149.json,1,1
2445.json,1,3
5910.json,3,4
2596.json,3,1
10399.json,1,5
792.json,3,3
12929.json,5,2
12791.json,2,4
9003.json,2,1
3811.json,1,1
3399.json,1,3
11229.json,5,1
3800.json,1,3
10283.json,4,4
352.json,4,1
4134.json,1,4
5278.json,3,4
2165.json,3,0
7448.json,5,5
12987.json,5,1
5132.json,3,5
13329.json,2,3
4588.json,5,1
6455.json,4,3
10282.json,0,1
211.json,5,3
7676.json,2,4
1873.json,1,1
2443.json,3,4
3841.json,3,5
12284.json,4,1
7197.json,4,3
12858.json,3,1
2633.json,3,3
6041.json,3,2
3414.json,1,2
4323.json,4,5
1679.json,3,3
275.json,2,4
13208.json,4,1
5911.json,3,3
4277.json,1,1
752.json,3,4
2601.json,1,1
1450.json,3,5
5653.json,0,2
13046.json,2,3
3103.json,5,4
2894.json,0,1
1012.json,1,2
